name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
Spiral Frequencies,13,1.43,0.4,0.07,25,1.7500000000000002,3318,6315.0
Royal Ceramic Club,4,0.44,0.16,0.01,8,0.08,2026,5000.0
CryptoMutts,17,1.87,2.27,0.03,227,6.81,2241,10000.0
The Glitches NFT,6,0.66,0.14,0.01,7,0.07,2860,4999.0
The 8102: Yachts,2,0.22,0.48,0.01,8,0.08,491,1678.0
KIA Ordinance,4,0.44,0.4,0.01,4,0.04,899,988.0
Al Cabones,2,0.22,0.03,0.02,3,0.06,3747,10000.0
Fatales,14,1.54,0.33,0.03,33,0.99,3805,10000.0
CryptoRugs,1,0.11,0.09,0.0,5,0.0,1282,5541.0
Hunter Weiss Gallery,1,0.11,3.45,0.095,1,0.095,22,29.0
PixelMap,3,0.33,0.24,1.4,4,5.6,500,1638.0
Catshit Crazy,4,0.44,0.07,0.0,7,0.0,2521,10069.0
Aerial Dreamscapes,3,0.33,7.5,0.37,3,1.1099999999999999,35,40.0
Template,20,2.21,1.5,0.0,135,0.0,2074,8992.0
HeavenComputer,45,4.96,3.34,0.1,260,26.0,2898,7777.0
AlphaBetty Doodles,18,1.98,0.46,0.03,46,1.38,3524,10000.0
Top Dog Beach Club,11,1.21,0.6,0.1,48,4.800000000000001,2938,7999.0
The Drops,1,0.11,0.23,0.07,1,0.07,356,438.0
My Curio Cards,34,3.75,396.67,0.38,119,45.22,4940,30.0
Dragonereum,1,0.11,0.01,0.05,1,0.05,931,10565.0
Star Cards,2,0.22,0.25,0.04,2,0.08,85,808.0
Foils NFT,1,0.11,5.36,0.077,3,0.23099999999999998,24,56.0
VectorField,16,1.76,40.98,1.5,25,37.5,43,61.0
BYOVape,17,1.87,1700.0,0.34,17,5.78,2810,1.0
NeoTokyo Citizens,6,0.66,0.34,14.9,7,104.3,1917,2036.0
Apostles: Genesis,15,1.65,0.73,0.98,53,51.94,2481,7260.0
MonsterWords -CryptoVocabs,1,0.11,4.0,0.034,2,0.068,16,50.0
Genetic Chain - Founders Pass,5,0.55,0.49,0.13,5,0.65,819,1014.0
"little boxes on the hillsides, child by LIA",9,0.99,1.59,0.08,12,0.96,484,754.0
Kohi Kintsugi,15,1.65,2.89,0.3,29,8.7,536,1003.0
