Project,PROOF Owners Holding,% PROOF Members Holding,% Project Held by PROOF Members,Project Floor,Total NFTs Held by PROOF Members,Total Value Held (ETH),Total Owners,Total Supply
Infinite Tiles,11,1,1.3,0,25,0.2,951,"1,861"
Animonkeys,11,1,1.4,0.2,36,8.6,950,"2,500"
Fomoverse,11,1,0.9,4,11,43.5,927,"1,234"
Sugar (Genesis),11,1,,0.1,15,2.2,908,7
Alpha Access,11,1,,0.1,12,0.6,889,2
Davinci from AI Maker Labs,11,1,1.7,0,22,0.8,888,"1,333"
Brushpops by Matty Mariansky,11,1,1.2,0.3,12,3.5,718,"1,000"
Cells by Hevey,11,1,1.5,0.1,15,1.1,625,"1,024"
Asemica by Emily Edelman - Dima Ofman - Andrew Badr,11,1,2.2,0.4,22,9.2,593,980
Party Animalz Speakeasy Society,11,1,2,0.1,11,1,557,563
Blockbob Rorschach by eBoy,11,1,2,0.1,20,2,545,"1,024"
Ocarinas,11,1,4.6,0.1,73,9.5,533,"1,587"
Ghxsts,11,1,10.9,4.8,38,182.4,526,349
0xmusic,11,1,5.7,0.3,44,11,459,777
[Dis]entanglement by onlygenerated,11,1,2.5,0.1,18,1.4,450,730
Plottables,11,1,1.5,0.1,18,1.4,449,"1,180"
Future Art Access All Art Pass VeeFriends edition,11,1,2.2,0.1,12,1.7,440,555
Gazettes by Redlioneye Gazette,11,1,2.7,0.1,28,1.9,431,"1,024"
Archetype by Kjetil Golid,11,1,6.8,13.9,41,567.9,316,600
celestial cyclones by hideo,11,1,4.3,0.8,27,22.9,316,628
CatBlocks by Kristy Glas,11,1,4.1,0.5,21,10.5,303,512
Crypto Packaged Goods,11,1,,21,11,231,292,11
One Hour Time Pieces,11,1,5,0.3,25,7.5,276,500
StudioUno Norte,11,1,7.9,0.1,27,3,222,343
Cath Simard Editions,11,1,,0.5,11,6,208,1
Eccentrics by Radix,11,1,8.8,0.7,35,24.2,195,400
Unigrids by Zeblocks,11,1,5,14.5,21,304.5,173,421
Gener8tive K-Compositions,11,1,9.6,1.4,24,34.1,139,250
Cyber Cities by pxlq,11,1,16.8,0.8,43,32.3,120,256
OneDayPunks,10,1,0.1,0,10,0.1,"9,985","10,000"
Rogue Society Bots,10,1,0.1,0,13,0.2,"7,064","15,777"
Planetary Property Association: Shuttle Passes,10,1,,0.1,11,0.9,"6,185",3
The Doge Pound,10,1,0.1,2.1,14,28.7,"5,634","10,000"
TheWhitelist.io - Aces,10,1,0.3,0.1,25,1.8,"5,328","10,000"
Ape Kids Club (AKC),10,1,0.1,0.3,12,3.2,"5,300","9,999"
The Humanoids,10,1,0.1,0.4,14,5.4,"4,925","10,000"
24px,10,1,0.2,0.1,16,0.8,"4,273","9,900"
Larva Doods,10,1,0.5,0,42,0.2,"4,269","8,888"
CryptoRayRays,10,1,0.4,0.1,42,2.7,"4,141","9,548"
Dope Shibas,10,1,0.9,0,86,1.7,"3,976","9,899"
Project NANOPASS,10,1,0.3,2,19,38,"3,951","5,555"
DI Animals,10,1,0.2,0,19,0.7,"3,761","8,887"
The Alien Boy,10,1,0.9,0.1,89,12.9,"3,739","9,994"
GalacticApes,10,1,0.4,0.1,44,5.7,"3,732","9,998"
Dirtybird Flight Club,10,1,0.3,0,27,0.5,"3,569","9,090"
TheLandDAO Official,10,1,1.3,0,114,2.9,"3,535","8,887"
Incognito,10,1,0.5,0.1,45,3,"3,265","9,999"
Hall Of Fame Goat Lodge,10,1,0.4,0.1,36,3.2,"3,163","10,000"
Rebel Bots,10,1,0.5,0.3,50,15.9,"3,127","10,000"
Metaverse Travel Agency (M.T.A.),10,1,0.5,0,28,0.6,"2,719","5,669"
Citadel Of The Machines,10,1,0.5,0,51,0.5,"2,536","9,959"
Mighty Manateez,10,1,0.4,0,42,0.4,"2,471","10,000"
Chubbiverse Frens,10,1,0.4,0.2,33,5.9,"2,442","8,888"
Chill Frogs NFT,10,1,0.4,0,23,0.9,"2,438","6,000"
Gods Of Rock,10,1,0.4,0,28,1.1,"2,314","6,958"
Extension Loot (for Adventurers),10,1,0.2,0,12,0,"2,213","7,779"
Dope Wars,10,1,0.5,0.1,38,5.3,"2,090","8,000"
Creepz Mega Shapeshifterz,10,1,0.6,1.6,21,33.4,"2,088","3,366"
Wizards & Dragons Game - Sacrificial Altar,10,1,,0,20,0.4,"2,019",7
CryptoCrystal,10,1,0.3,0.1,30,3,"2,012","9,994"
NFT Affirmations,10,1,1.1,0,34,0.3,"1,799","3,199"
Glitch (in the Matrix),10,1,0.7,0,42,0,"1,788","6,118"
Weird Whales,10,1,0.5,0.1,16,2.1,"1,666","3,350"
The Settlements (Legacy),10,1,1.3,0,130,0,"1,577","9,905"
HashDemons,10,1,1,0,67,0,"1,569","6,666"
DeadTickets,10,1,1.1,0,58,1.5,"1,555","5,480"
Blockchain Adventures Of Bella The Blue Bot,10,1,0.6,0,19,0.9,"1,549","3,150"
DoodleBitsNFT,10,1,2.8,0,98,0.2,"1,383","3,514"
LoFiSkylines,10,1,1.3,0,42,0,"1,267","3,333"
Loot (for Cyberpunks),10,1,0.6,0,17,0.2,"1,208","3,011"
Uncanny Unicorns,10,1,2.2,0,78,0,"1,190","3,576"
Entropes,10,1,2.5,0,58,2.3,"1,163","2,358"
Queens+Kings,10,1,0.8,0.7,19,12.4,"1,122","2,340"
Interleave Productions,10,1,,0,10,0.2,"1,034",1
x0r,10,1,1,0.1,32,3.2,944,"3,164"
NFT Tax Guide,10,1,1.9,0,16,0.6,788,841
DeepBlack,10,1,1,0.7,32,21.4,700,"3,074"
Nyan Cat (Official),10,1,,0.8,38,31.9,635,24
postcards from paradise,10,1,1.8,0.1,12,1.2,598,676
VeeFriends Mini Drops,10,1,2.3,1.8,27,47.3,594,"1,191"
Moments by r4v3n,10,1,2.3,0,23,1,575,"1,024"
Analog Summer,10,1,3.2,0.1,40,3.2,574,"1,234"
Pathfinders by luxpris,10,1,2.8,0.2,28,5.6,502,"1,000"
Concrete Park,10,1,0.3,0,11,0.1,486,"3,866"
Gen 3 by DCA,10,1,1.9,0.2,19,3.4,472,"1,024"
SUN SIGNALS,10,1,1,1,10,10,444,"1,010"
Tboa Club,10,1,4,0.1,24,3.6,368,600
Obicera by Alexis André,10,1,2.8,0.4,15,5.3,354,529
MetaHero Universe: Generative Identities,10,1,0.2,5,13,65,310,"6,449"
Divisions by Michael Connolly,10,1,7.2,0.7,36,25.2,283,500
Attraction by Jos Vromans,10,1,3.4,0.2,15,2.7,264,444
NimBuds by Bryan Brinkman,10,1,5,3.2,20,64,247,400
Void by Alexis André,10,1,3,0.8,15,11.6,219,500
The Blocks of Art by Shvembldr,10,1,4,4.9,20,97.8,185,500
Jake's World Editions,10,1,,1.4,24,34.1,171,11
Gener8tive Mutations,10,1,11.3,0.1,29,2.9,165,257
Decentraland Names,9,1,0,0.1,11,0.9,"12,738","32,146"
Planetary Property Association: Surrealestates,9,1,0.2,0.1,19,2.2,"5,795","9,532"
inBetweeners by GianPiero,9,1,0.4,0.7,45,33.3,"5,738","10,777"
Metasaurs by Dr. DMT,9,1,0.1,0.1,14,1.8,"5,324","9,999"
Nudie Community Official,9,1,0.2,0.1,23,1.4,"5,084","10,000"
Fewmans,9,1,0.1,0,11,0,"5,049","9,349"
SpaceBoysNFT,9,1,0.6,0,52,0.5,"4,635","8,888"
Fang Gang,9,1,0.6,0.3,53,16.2,"4,410","8,888"
Crypto Corgis,9,1,0.2,0,24,0.2,"4,095","9,999"
weape24,9,1,0.2,0,21,0.4,"4,016","9,900"
Fly Frogs,9,1,0.2,0,15,0.4,"3,974","9,999"
Mars Cats Voyage,9,1,0.5,0.1,48,4.8,"3,615","10,000"
8 BIT UNIVERSE,9,1,2.3,0,201,1.6,"3,426","8,887"
FoxFam,9,1,0.2,0.6,24,14.2,"3,335","10,000"
SameToadz,9,1,0.9,0,65,0.1,"3,331","7,025"
