Project,PROOF Owners Holding,% PROOF Members Holding,% Project Held by PROOF Members,Project Floor,Total NFTs Held by PROOF Members,Total Value Held (ETH),Total Owners,Total Supply
Voxies,9,1,1.1,0.7,110,80.2,"1,753","10,000"
Brkfst World,9,1,0.7,0,26,1,"1,652","3,985"
GRAYCRAFT2,9,1,0.7,0.4,34,15,"1,592","5,200"
Satoshibles,9,1,0.3,0.2,13,3,"1,565","5,000"
Skeleton-Bit,9,1,1.7,0,85,0,"1,487","5,000"
GAWDS,9,1,0.7,0.1,36,2.7,"1,447","5,217"
Unidentified contract - V7hByRdrhA,9,1,,0,31,0.1,"1,404",21
SlimHoods Specials,9,1,,0.1,9,0.9,"1,354",2
EIP-1559 Supporter Series,9,1,0.6,0.1,9,1.3,"1,352","1,559"
PotatoPunks,9,1,1.9,0,106,0.3,"1,352","5,555"
INCEPTIONPASS,9,1,1.7,0,57,0.1,"1,337","3,372"
NFT World of Men,9,1,0.7,0,30,0.6,"1,293","4,504"
Bored Ape Seeks Yacht Club #0,9,1,1.2,0,70,0.2,"1,250","5,636"
Spunks,9,1,0.3,0.1,26,1.3,"1,200","10,000"
Nomad Blvd | First Edition,9,1,0.6,0.1,17,1.5,998,"2,923"
Larva eggs,9,1,0.7,0,33,0,945,"5,000"
The Fungible by Pak,9,1,0.2,5.9,10,59.4,930,"6,302"
Inverted Ape Club,9,1,0.8,0,15,0.3,925,"1,876"
Wrapped Strikers,9,1,4.3,0.1,147,14.7,841,"3,422"
Origins NFT,9,1,,4.4,9,39.6,838,2
Phouns NFT,9,1,0.8,0,29,0,796,"3,622"
PILLS,9,1,1.3,0.7,21,14.5,737,"1,622"
Dot Grid by TheElephantNL,9,1,1.8,0,18,0.7,641,"1,000"
Damien Hirst - Great Expectations,9,1,1.8,0.5,14,6.7,600,778
Organized Disruption by Joshua Davis / PrayStation,9,1,1.4,0.1,14,1.7,570,"1,000"
I Saw It in a Dream by Steve Pikelny,9,1,3.3,0.1,34,4.9,565,"1,024"
LetsWalk,9,1,19.1,4.7,12,56.4,556,63
The Blitnauts,9,1,0.7,1.9,10,19,546,"1,477"
Banana Hands,9,1,1.7,0,11,0.1,505,653
CryptoNewYorkerBanner,9,1,90,0,9,0.4,478,10
"little boxes on the hillsides, child by LIA",9,1,1.6,0.1,12,1.1,477,751
Slashes,9,1,3.3,0.1,34,2,465,"1,024"
Orthogone by Pandelune,9,1,2.6,0,20,0.9,442,777
The Forgotten Runes Infinity Veil,9,1,,5,9,44.6,441,1
WavesOnChain,9,1,1.7,0.1,17,1.4,424,"1,024"
sail-o-bots by sturec,9,1,1.6,4.5,12,54,412,750
Todd & Rahul's Angel Fund,9,1,2.3,0.1,9,0.5,395,399
RTFKT BONUS ITEMS,9,1,58.3,3.3,14,45.5,384,24
Dot Matrix Gradient Study by Jake Rockland,9,1,3,0.2,16,3.2,376,540
MemeCalfNFT,9,1,0.8,0,9,0.3,333,"1,194"
Superchief Gallery NFT,9,1,15.8,0.1,49,4.9,331,311
NewDayTomorrow,9,1,2.4,0,11,0.1,321,457
Infinites AI,9,1,5.1,0.5,26,13,290,512
Mutant Garden Seeder,9,1,3.7,4.8,19,91.2,279,513
Places (for Everyone),9,1,11.3,0.1,67,3.4,173,594
Justin Aversano - Smoke and Mirrors - Physical Tarot Scrolls,9,1,8.9,7.3,16,116.8,150,180
Buy Your Own Time (BYOT),9,1,14.6,0,77,0.8,108,526
Elevated Deconstructions by luxpris,9,1,9,39,18,702,104,200
A Special Edition,9,1,14.5,0.4,29,11.6,71,200
Ethernity's Master Collection,8,1,0.1,0,24,0.6,"7,943","21,278"
Dream Team NFT,8,1,0.2,0,19,0,"5,395","9,999"
My Pet Hooligan,8,1,0.2,1.2,13,15.2,"5,281","8,888"
Playboy Rabbitars Official,8,1,0.1,0.2,17,2.7,"5,217","11,953"
The Official Surreals,8,1,0.2,0.1,22,1.9,"5,063","10,000"
ETHEREALS WTF,8,1,0.1,0.1,16,0.9,"4,992","12,345"
Wicked Ape Bone Club,8,1,0.2,0.1,15,1.3,"4,856","10,000"
Coodles,8,1,0.2,0,13,0.5,"4,799","8,888"
Doge Pound Puppies,8,1,0.1,0.4,10,3.5,"4,740","8,188"
Blockverse MC,8,1,0.3,0,32,0,"4,623","9,999"
Somnium Space VR,8,1,0.3,0.9,18,15.8,"4,617","5,744"
Cat Bricks Clubhouse,8,1,0.5,0,52,1.6,"4,488","9,999"
Global Citizen Club,8,1,0.3,0.1,26,3.9,"4,370","8,888"
Fluffy Polar Bears,8,1,0.3,0.1,28,2.2,"4,228","9,442"
ALPACADABRAZ,8,1,1.5,1.3,143,184.2,"4,187","9,669"
Wicked Hound Bone Club,8,1,0.2,0,24,0.3,"4,069","11,111"
The Wolfgang,8,1,0.3,0,29,0.5,"3,982","9,957"
Loopy Donuts,8,1,0.2,0,16,0.2,"3,843","10,000"
Krazy Koalas NFT,8,1,0.2,0,24,0.3,"3,803","9,999"
Axolittles,8,1,0.2,0.1,23,2.7,"3,758","10,000"
Kumo x World Residents,8,1,0.2,0.2,13,3,"3,661","6,642"
Lostboy NFT,8,1,0.3,0.1,25,1.6,"3,618","10,000"
Non-Fungible Fungi Collection,8,1,0.2,0.2,20,3.8,"3,534","9,551"
OpenDAO Genesis Membership,8,1,,0,17,0.7,"3,422",4
JunkYardDogs,8,1,0.4,0.1,32,1.9,"3,401","7,976"
Wizards & Dragons Game (WnD),8,1,0.2,0,68,2,"3,352","46,169"
BearsOnTheBlock,8,1,0.9,0,86,1.9,"3,281","9,495"
Blazed Cats,8,1,0.7,0,74,0.4,"3,245","9,951"
Crypto Hobos,8,1,0.2,0,18,0.5,"2,995","7,981"
Super Shiba Club,8,1,0.2,0,19,0.2,"2,892","10,010"
House Of Legends,8,1,0.4,0.1,41,3.7,"2,713","9,993"
NeckVille,8,1,0.3,0,14,0.5,"2,713","5,555"
The WynLambo,8,1,0.4,0,36,0.6,"2,704","9,999"
DAO Turtles,8,1,0.4,0.6,39,23.4,"2,684","9,859"
Uncool Cats NFT,8,1,0.5,0,36,1.4,"2,658","6,969"
Osiris Cosmic Kids,8,1,0.2,0,15,0.4,"2,642","9,999"
Bears Deluxe,8,1,0.4,1.4,26,36.1,"2,615","6,119"
THEPOPULARS,8,1,0.7,0.1,24,3.4,"2,587","3,333"
Skullx,8,1,0.2,0,24,0.8,"2,582","10,000"
MLB Champions,8,1,0.4,0,946,0.9,"2,567","249,111"
Slumdoge Billionaires,8,1,0.6,0,58,1.5,"2,534","9,997"
NEKO Official,8,1,0.4,0,33,1.6,"2,502","7,703"
WE ARE KLOUD,8,1,0.5,0.1,27,2.7,"2,493","5,000"
N3D Deprecated,8,1,0.4,0,34,0,"2,362","7,796"
TinyPaws 2D,8,1,0.3,0,8,0,"2,353","2,377"
Slumboginis,8,1,0.5,0,53,0.1,"2,293","9,999"
Property's NFT,8,1,0.4,0.1,21,2.1,"2,261","6,000"
The Sad Cats,8,1,1.2,0.1,82,4.7,"2,257","6,954"
Dogs Unchained,8,1,0.3,0,18,0.3,"2,194","5,926"
Art For N,8,1,0.3,0,16,0,"2,177","6,068"
Heroes of Evermore,8,1,2,0,199,6,"2,124","10,000"
sLoot (Loot for Scammers),8,1,0.9,0,68,0.3,"2,086","7,808"
The Wicked Loot,8,1,0.3,0,18,0,"2,083","5,388"
Rookie League,8,1,0.3,0,28,0,"1,979","10,000"
Nifty Island: Legendary Pistols,8,1,0.5,0.2,19,2.9,"1,975","3,587"
WoW Pixies Official,8,1,7.5,0.2,416,79,"1,960","5,555"
Nouns3D,8,1,0.5,0,31,1.1,"1,949","6,331"
Dreamloops,8,1,2.6,0,246,7.1,"1,901","9,513"
Tiny Kingdoms,8,1,0.3,0,12,0.1,"1,892","4,096"
Fu  Xi,8,1,0.7,0,59,0,"1,857","8,888"
Standametti,8,1,0.4,0,18,0.4,"1,817","4,331"
Teen Rebel Ape Club,8,1,0.6,0,38,1.3,"1,810","6,813"
From the Fragments of Tezuka Osamu - Generative Art,8,1,0.5,0.1,15,1.9,"1,705","3,037"
Bad Bears Genesis,8,1,0.4,0.2,15,2.3,"1,617","4,317"
Pixlton - The Awkward NFT Town,8,1,0.3,0.1,17,2.4,"1,611","5,468"
Royal Society of Players,8,1,1.1,0.1,108,12.9,"1,592","10,000"
OnChain Seasides,8,1,0.5,0,18,0.1,"1,489","3,309"
The Infinite Machine Movie Collection,8,1,0.6,0.1,23,2.3,"1,459","4,155"
